source_role,period,place_name,lat,lon,n_reviews,negative,positive,dominant_sentiment,sentiment_source,rentang_tanggal,place_id,avg_confidence_model
training_eda,2021-11,Mi Ayam Pak Wanto Purwokerto,-7.429113799999999,109.24458050000001,5,1,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam & Bakso WE-TAN,-7.4157893,109.2637874,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Pak Marso,-7.423968,109.236043,4,2,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Mie Ayam Pak Kumis,-7.4120193,109.2451626,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-11,Bakso Kota Cak Man,-7.4257816,109.2301284,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pak Dhe,-7.3779111,109.2429119,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Tipar,-7.427217,109.2351073,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pak Toro,-7.4223209,109.228104,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Mbak Kimun,-7.431097,109.2564693,8,1,7,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Tanjlig,-7.4164092,109.2294025,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Deddy,-7.4301934,109.2559782,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,3,1,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,2,1,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Goar,-7.4260842,109.2493904,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pak Marso,-7.423968,109.236043,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Ma-Dyang,-7.4207155,109.2595639,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Mas Mul Gendut,-7.4232472,109.2504548,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Mie Ayam Pak Kumis,-7.4120193,109.2451626,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-12,Bakso Kota Cak Man,-7.4257816,109.2301284,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.24613750000002,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Tipar,-7.427217,109.2351073,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pak Toro,-7.4223209,109.228104,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Mbak Kimun,-7.431097,109.2564693,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Tanjlig,-7.4164092,109.2294025,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Deddy,-7.4301934,109.2559782,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,8,0,8,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pak Marso,-7.423968000000001,109.236043,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Mas Mul Gendut,-7.4232472,109.2504548,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2022-01,Mie Ayam Pak Kumis,-7.4120193,109.2451626,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2022-02,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2022-02,Mie Ayam Tipar,-7.427217,109.2351073,3,1,2,Positif,EDA/labeler all_platforms,,,
training_eda,2022-02,Mie Ayam Mbak Kimun,-7.431097,109.2564693,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2022-02,Mie Ayam Tanjlig,-7.4164092,109.2294025,2,0,2,Positif,EDA/labeler all_platforms,,,
